title$summary$tag$affiliation$summary_zh$tag_zh$url
FedBoosting: Federated Learning with Gradient Protected Boosting for  Text Recognition$  Typical machine learning approaches require centralized data for modeltraining, which may not be possible where restrictions on data sharing are inplace due to, for instance, privacy and gradient protection. The recentlyproposed Federated Learning (FL) framework allows learning a shared modelcollaboratively without data being centralized or shared among data owners.However, we show in this paper that the generalization ability of the jointmodel is poor on Non-Independent and Non-Identically Distributed (Non-IID)data, particularly when the Federated Averaging (FedAvg) strategy is used dueto the weight divergence phenomenon. Hence, we propose a novel boostingalgorithm for FL to address both the generalization and gradient leakageissues, as well as achieve faster convergence in gradient-based optimization.In addition, a secure gradient sharing protocol using Homomorphic Encryption(HE) and Differential Privacy (DP) is introduced to defend against gradientleakage attack and avoid pairwise encryption that is not scalable. Wedemonstrate the proposed Federated Boosting (FedBoosting) method achievesnoticeable improvements in both prediction accuracy and run-time efficiency ina visual text recognition task on public benchmark.$Federated Learning, Text Recognition, Gradient Protection$Swansea University, Durham University, Xidian University, Xi'an University of Technology$本文研究了在数据受到联邦学习限制时，使用传统Federated Averaging策略时的缺陷，提出了一种新的boosting算法（FedBoosting）以解决这些问题，并通过可靠的实验验证了该算法在公共基准数据集上文本识别任务中的表现。$联邦学习，文本识别，梯度保护$http://arxiv.org/pdf/2007.07296v5
Semi-supervised Medical Image Segmentation through Dual-task Consistency$  Deep learning-based semi-supervised learning (SSL) algorithms have led topromising results in medical images segmentation and can alleviate doctors\'expensive annotations by leveraging unlabeled data. However, most of theexisting SSL algorithms in literature tend to regularize the model training byperturbing networks and/or data. Observing that multi/dual-task learningattends to various levels of information which have inherent predictionperturbation, we ask the question in this work: can we explicitly buildtask-level regularization rather than implicitly constructing networks- and/ordata-level perturbation-and-transformation for SSL? To answer this question, wepropose a novel dual-task-consistency semi-supervised framework for the firsttime. Concretely, we use a dual-task deep network that jointly predicts apixel-wise segmentation map and a geometry-aware level set representation ofthe target. The level set representation is converted to an approximatedsegmentation map through a differentiable task transform layer. Simultaneously,we introduce a dual-task consistency regularization between the levelset-derived segmentation maps and directly predicted segmentation maps for bothlabeled and unlabeled data. Extensive experiments on two public datasets showthat our method can largely improve the performance by incorporating theunlabeled data. Meanwhile, our framework outperforms the state-of-the-artsemi-supervised medical image segmentation methods. Code is available at:https://github.com/Luoxd1996/DTC$Medical Image Segmentation, Semi-supervised Learning, Deep Learning, Dual-task Learning, Regularization$1 University of Electronic Science and Technology of China, 2 SenseTime Research, 3 Tongji University$本文提出了一种新的双任务一致性半监督学习框架，将任务级别的正则化引入医学图像分割中。通过双任务深度网络，同时预测像素级分割地图和几何感知的水平集表示，并通过可微分的任务转换层将水平集表示转换为近似的分割地图。同时，我们引入了对于有标签和无标签数据的双任务一致性正则化。在两个公共数据集上的实验表明，我们的方法可以通过结合无标签数据大大提高性能，并且优于现有的半监督学习方法。$医学图像分割，半监督学习，深度学习，双任务学习，正则化$http://arxiv.org/pdf/2009.04448v3
Implicit Integration of Superpixel Segmentation into Fully Convolutional  Networks$  Superpixels are a useful representation to reduce the complexity of imagedata. However, to combine superpixels with convolutional neural networks (CNNs)in an end-to-end fashion, one requires extra models to generate superpixels andspecial operations such as graph convolution. In this paper, we propose a wayto implicitly integrate a superpixel scheme into CNNs, which makes it easy touse superpixels with CNNs in an end-to-end fashion. Our proposed methodhierarchically groups pixels at downsampling layers and generates superpixels.Our method can be plugged into many existing architectures without a change intheir feed-forward path because our method does not use superpixels in thefeed-forward path but use them to recover the lost resolution instead ofbilinear upsampling. As a result, our method preserves detailed informationsuch as object boundaries in the form of superpixels even when the modelcontains downsampling layers. We evaluate our method on several tasks such assemantic segmentation, superpixel segmentation, and monocular depth estimation,and confirm that it speeds up modern architectures and/or improves theirprediction accuracy in these tasks.$Superpixel Segmentation, Fully Convolutional Networks, Pixel Clustering$Denso IT Laboratory, Inc.$本文提出了一种将超像素分割隐式集成到全卷积网络中的方法，通过对像素进行层次式聚类生成超像素，并在恢复失去的分辨率时使用超像素，有效地保留图像细节信息。作者在多个任务中验证了该方法的优越性能。$超像素分割、全卷积网络、像素聚类$http://arxiv.org/pdf/2103.03435v2
MSN: Multi-Style Network for Trajectory Prediction$  Trajectory prediction aims to forecast agents\' possible future locationsconsidering their observations along with the video context. It is stronglyneeded by many autonomous platforms like tracking, detection, robot navigation,and self-driving cars. Whether it is agents\' internal personality factors,interactive behaviors with the neighborhood, or the influence of surroundings,they all impact agents\' future planning. However, many previous methods modeland predict agents\' behaviors with the same strategy or feature distribution,making them challenging to make predictions with sufficient style differences.This paper proposes the Multi-Style Network (MSN), which utilizes styleproposal and stylized prediction using two sub-networks, to provide multi-stylepredictions in a novel categorical way adaptively. The proposed networkcontains a series of style channels, and each channel is bound to a unique andspecific behavior style. We use agents\' end-point plannings and theirinteraction context as the basis for the behavior classification, so as toadaptively learn multiple diverse behavior styles through these channels. Then,we assume that the target agents may plan their future behaviors according toeach of these categorized styles, thus utilizing different style channels tomake predictions with significant style differences in parallel. Experimentsshow that the proposed MSN outperforms current state-of-the-art methods up to10% quantitatively on two widely used datasets, and presents better multi-stylecharacteristics qualitatively.$Trajectory prediction, Multi-style, Hidden behavior category, Transformer$Huazhong University of Science and Technology$本文提出了一种基于多样化风格的轨迹预测方法，通过两个子网络的风格提取和预测，提供不同的预测风格，并以分类方式进行自适应预测。该方法采用终点预测和互动环境作为行为分类的基础，并通过多个风格通道来自适应地学习多种不同的行为风格。实验表明，该方法在两个广泛使用的数据集上的表现优于现有最先进方法，具有更好的多样化特征。$轨迹预测，多样化风格，隐藏的行为类别$http://arxiv.org/pdf/2107.00932v5
Reuse your features: unifying retrieval and feature-metric alignment$  We propose a compact pipeline to unify all the steps of Visual Localization:image retrieval, candidate re-ranking and initial pose estimation, and camerapose refinement. Our key assumption is that the deep features used for theseindividual tasks share common characteristics, so we should reuse them in allthe procedures of the pipeline. Our DRAN (Deep Retrieval and image AlignmentNetwork) is able to extract global descriptors for efficient image retrieval,use intermediate hierarchical features to re-rank the retrieval list andproduce an initial pose guess, which is finally refined by means of afeature-metric optimization based on learned deep multi-scale dense features.DRAN is the first single network able to produce the features for the threesteps of visual localization. DRAN achieves competitive performance in terms ofrobustness and accuracy under challenging conditions in public benchmarks,outperforming other unified approaches and consuming lower computational andmemory cost than its counterparts using multiple networks. Code and models willbe publicly available at https://github.com/jmorlana/DRAN.$Visual localization, Feature extraction, Deep learning$Instituto de Investigación en Ingeniería de Aragón (I3A), Universidad de Zaragoza, Spain$图像检索、候选重排和初始位姿估计以及相机姿势细化。作者们认为，这些步骤中使用的深度特征具有共同的特征，因此应在流水线中的所有过程中重复使用它们。作者们的DRAN（Deep Retrieval and image Alignment Network）能够提取全局描述符，以实现高效的图像检索，并使用中间层级特征对检索列表进行重新排序和产生初始位姿猜测，在经过基于学习的深度多尺度密集特征的特征度量优化之后，最终细化姿态。 DRAN是首个能够为三个视觉定位步骤生成特征的单个网络。 DRAN在公共基准测试中，在具有挑战性的条件下取得了具有竞争力的健壮性和准确性表现，优于其他统一方法，并且比使用多个网络的相应方法消耗更低的计算和内存成本。$视觉定位，特征提取，深度学习$http://arxiv.org/pdf/2204.06292v2
End-to-end Weakly-supervised Single-stage Multiple 3D Hand Mesh  Reconstruction from a Single RGB Image$  In this paper, we consider the challenging task of simultaneously locatingand recovering multiple hands from a single 2D image. Previous studies eitherfocus on single hand reconstruction or solve this problem in a multi-stage way.Moreover, the conventional two-stage pipeline firstly detects hand areas, andthen estimates 3D hand pose from each cropped patch. To reduce thecomputational redundancy in preprocessing and feature extraction, for the firsttime, we propose a concise but efficient single-stage pipeline for multi-handreconstruction. Specifically, we design a multi-head auto-encoder structure,where each head network shares the same feature map and outputs the handcenter, pose and texture, respectively. Besides, we adopt a weakly-supervisedscheme to alleviate the burden of expensive 3D real-world data annotations. Tothis end, we propose a series of losses optimized by a stage-wise trainingscheme, where a multi-hand dataset with 2D annotations is generated based onthe publicly available single hand datasets. In order to further improve theaccuracy of the weakly supervised model, we adopt several feature consistencyconstraints in both single and multiple hand settings. Specifically, thekeypoints of each hand estimated from local features should be consistent withthe re-projected points predicted from global features. Extensive experimentson public benchmarks including FreiHAND, HO3D, InterHand2.6M and RHDdemonstrate that our method outperforms the state-of-the-art model-basedmethods in both weakly-supervised and fully-supervised manners. The code andmodels are available at {https://github.com/zijinxuxu/SMHR}.$$$$$http://arxiv.org/pdf/2204.08154v3
SImProv: Scalable Image Provenance Framework for Robust Content  Attribution$  We present SImProv - a scalable image provenance framework to match a queryimage back to a trusted database of originals and identify possiblemanipulations on the query. SImProv consists of three stages: a scalable searchstage for retrieving top-k most similar images; a re-ranking andnear-duplicated detection stage for identifying the original among thecandidates; and finally a manipulation detection and visualization stage forlocalizing regions within the query that may have been manipulated to differfrom the original. SImProv is robust to benign image transformations thatcommonly occur during online redistribution, such as artifacts due to noise andrecompression degradation, as well as out-of-place transformations due to imagepadding, warping, and changes in size and shape. Robustness towardsout-of-place transformations is achieved via the end-to-end training of adifferentiable warping module within the comparator architecture. Wedemonstrate effective retrieval and manipulation detection over a dataset of100 million images.$Keywords: Text classification, Machine learning, Deep learning$Author affiliation: Unknown$本文介绍了文本分类中机器学习和深度学习的应用方法。$文本分类，机器学习，深度学习$http://arxiv.org/pdf/2206.14245v2
Unified Object Detector for Different Modalities based on Vision  Transformers$  Traditional systems typically require different models for processingdifferent modalities, such as one model for RGB images and another for depthimages. Recent research has demonstrated that a single model for one modalitycan be adapted for another using cross-modality transfer learning. In thispaper, we extend this approach by combining cross/inter-modality transferlearning with a vision transformer to develop a unified detector that achievessuperior performance across diverse modalities. Our research envisions anapplication scenario for robotics, where the unified system seamlessly switchesbetween RGB cameras and depth sensors in varying lighting conditions.Importantly, the system requires no model architecture or weight updates toenable this smooth transition. Specifically, the system uses the depth sensorduring low-lighting conditions (night time) and both the RGB camera and depthsensor or RGB caemra only in well-lit environments. We evaluate our unifiedmodel on the SUN RGB-D dataset, and demonstrate that it achieves similar orbetter performance in terms of mAP50 compared to state-of-the-art methods inthe SUNRGBD16 category, and comparable performance in point cloud only mode. Wealso introduce a novel inter-modality mixing method that enables our model toachieve significantly better results than previous methods. We provide ourcode, including training/inference logs and model checkpoints, to facilitatereproducibility and further research.\\url{https://github.com/liketheflower/UODDM}$$$$$http://arxiv.org/pdf/2207.01071v2
InterTrack: Interaction Transformer for 3D Multi-Object Tracking$  3D multi-object tracking (MOT) is a key problem for autonomous vehicles,required to perform well-informed motion planning in dynamic environments.Particularly for densely occupied scenes, associating existing tracks to newdetections remains challenging as existing systems tend to omit criticalcontextual information. Our proposed solution, InterTrack, introduces theInteraction Transformer for 3D MOT to generate discriminative objectrepresentations for data association. We extract state and shape features foreach track and detection, and efficiently aggregate global information viaattention. We then perform a learned regression on each track/detection featurepair to estimate affinities, and use a robust two-stage data association andtrack management approach to produce the final tracks. We validate our approachon the nuScenes 3D MOT benchmark, where we observe significant improvements,particularly on classes with small physical sizes and clustered objects. As ofsubmission, InterTrack ranks 1st in overall AMOTA among methods usingCenterPoint detections.$3D multi-object tracking$University of Toronto Robotics Institute$提出了一种称为InterTrack的新方法，引入交互变换器来生成数据关联的判别式对象表示。通过建立全局关注机制进行有效的全局信息聚合，并采用两阶段数据关联和轨迹管理方法。在nuScenes 3D MOT基准测试中，InterTrack在各种类别中实现了显着的改进。$3D多目标跟踪（3D multi-object tracking）$http://arxiv.org/pdf/2208.08041v2
FS-BAN: Born-Again Networks for Domain Generalization Few-Shot  Classification$  Conventional Few-shot classification (FSC) aims to recognize samples fromnovel classes given limited labeled data. Recently, domain generalization FSC(DG-FSC) has been proposed with the goal to recognize novel class samples fromunseen domains. DG-FSC poses considerable challenges to many models due to thedomain shift between base classes (used in training) and novel classes(encountered in evaluation). In this work, we make two novel contributions totackle DG-FSC. Our first contribution is to propose Born-Again Network (BAN)episodic training and comprehensively investigate its effectiveness for DG-FSC.As a specific form of knowledge distillation, BAN has been shown to achieveimproved generalization in conventional supervised classification with aclosed-set setup. This improved generalization motivates us to study BAN forDG-FSC, and we show that BAN is promising to address the domain shiftencountered in DG-FSC. Building on the encouraging findings, our second (major)contribution is to propose Few-Shot BAN (FS-BAN), a novel BAN approach forDG-FSC. Our proposed FS-BAN includes novel multi-task learning objectives:Mutual Regularization, Mismatched Teacher, and Meta-Control Temperature, eachof these is specifically designed to overcome central and unique challenges inDG-FSC, namely overfitting and domain discrepancy. We analyze different designchoices of these techniques. We conduct comprehensive quantitative andqualitative analysis and evaluation over six datasets and three baselinemodels. The results suggest that our proposed FS-BAN consistently improves thegeneralization performance of baseline models and achieves state-of-the-artaccuracy for DG-FSC. Project Page: https://yunqing-me.github.io/Born-Again-FS/.$Few-shot classification, 领域泛化，再生网络，偏置训练，元学习$Singapore University of Technology and Design$本文提出Born-Again Networks (BANs)和Few-Shot BAN (FS-BAN)方法，用于解决领域泛化Few-shot分类任务中的域偏移问题，通过综合定量和定性分析，证明了其在多个数据集上均取得了最先进的性能。$Few-shot classiﬁcation, domain generalization, born-again network, episodic training, meta-learning$http://arxiv.org/pdf/2208.10930v4
